,mainCategory,canceled,failed,live,successful,suspended,undefined,total,failRate,sucessRate,usdPledged,backers,avgTicket
13,Technology,4715.0,20616.0,377.0,6434.0,424.0,3.0,32566.0,0.7778357796474851,0.20914450654056377,688872603,5356513.0,128.60467304009157
9,Journalism,523.0,3137.0,31.0,1012.0,52.0,,4755.0,0.7697160883280757,0.21934805467928498,12437682,182091.0,68.30475970805806
2,Crafts,843.0,5703.0,76.0,2115.0,72.0,,8809.0,0.743103644000454,0.24872289703712114,14384311,240342.0,59.84934385167803
7,Food,2211.0,15969.0,184.0,6085.0,153.0,,24602.0,0.7389643118445655,0.254816681570604,125806605,1332751.0,94.396181282175
5,Fashion,2650.0,14182.0,250.0,5593.0,138.0,3.0,22813.0,0.737824924385219,0.25612589313110945,130335325,1401993.0,92.9643193653606
11,Photography,986.0,6384.0,48.0,3305.0,55.0,1.0,10778.0,0.6838003340137316,0.3110966784190017,38501668,428078.0,89.94077714808984
12,Publishing,3602.0,23145.0,299.0,12300.0,66.0,462.0,39412.0,0.6786511722318076,0.31967421090023346,133576100,2231589.0,59.856944984045
4,Design,4152.0,14814.0,305.0,10550.0,247.0,2.0,30068.0,0.6307702540907277,0.36101503259278966,734220337,7255880.0,101.1897022828382
8,Games,6202.0,16003.0,287.0,12518.0,220.0,1.0,35230.0,0.6302866874822595,0.3634686346863469,741327600,11336829.0,65.3910895189475
6,Film & Video,5755.0,32904.0,332.0,23623.0,117.0,854.0,62731.0,0.6162662798297492,0.38186861360411917,391555259,4197577.0,93.28125702041916
0,Art,2222.0,14131.0,194.0,11510.0,96.0,,28153.0,0.5808617198877561,0.4157283415621781,90680507,1188200.0,76.31754502608989
10,Music,3305.0,21752.0,281.0,24197.0,149.0,2234.0,49684.0,0.5043273488446985,0.4926736977699058,200318873,2708475.0,73.96002289111031
1,Comics,842.0,4036.0,76.0,5842.0,23.0,,10819.0,0.45087346335151124,0.54700064700989,71518460,1458090.0,49.04941395935779
14,Theater,608.0,3708.0,41.0,6534.0,21.0,1.0,10912.0,0.39552785923753664,0.6025476539589443,43716646,513536.0,85.12868815428713
3,Dance,163.0,1235.0,18.0,2338.0,13.0,1.0,3767.0,0.3711176002123706,0.625431377754181,13010707,161275.0,80.67404743450628
